,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
163,84.5,,,,,,Arabica,Eric Wu,China,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",Above 1100m,"Pu'er City, Yunnan, China","PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1.0,2,Specialty Coffee Association,2013,2014-06-16,Eric Wu,Other,Completed,Washed / Wet,Sample,7.67,8.0,7.75,7.83,7.75,7.58,Sample,10.0,10.0,10.0,7.92,Sample  84.50,,0.0,0,0.0,Green,2,,2015-06-16,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-08-30
164,84.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL SACRAMENTO,,BENEFICIO IXCHEL,11/23/0398,"UNEX (GUATEMALA),S.A",4300,ORIENTE,LUIS RODRIGUEZ,250.0,69,Asociacion Nacional Del Café,2013,2013-02-26,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8.17,7.83,7.67,7.83,7.67,7.83,Sample,10.0,10.0,10.0,7.5,Sample  84.50,,0.11,0,0.0,Green,2,,2014-02-26,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2013-05-01
166,84.5,,,,,,Arabica,MARIA IMELDA USCANGA MARTINEZ,Mexico,LA BARRANCA,,HUSTUSCO,1104548679,,1350,HUSTUSCO,MARIA IMELDA USCANGA MARTINEZ,56.0,1,AMECAFE,2012,2012-07-11,MARIA IMELDA USCANGA MARTINEZ,Typica,Completed,Washed / Wet,Sample,8.0,7.92,7.42,8.08,7.5,7.67,Sample,10.0,10.0,10.0,7.92,Sample  84.50,,0.12,0,0.0,Green,0,,2013-07-11,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-08-23
167,84.5,,,,,,Arabica,ALFREDO BOJALIL,Mexico,FINCA EL RETIRO,,AGROINDUSTRIAS UNIDAS DE MEXICO,2222,ECOMTRADING,1500,JALTENANGO,SANTIAGO JOSE ARGUELLO CAMPOS,250.0,1,AMECAFE,2012,2012-06-06,ALFREDO BOJALIL,Typica,Completed,Washed / Wet,Sample,7.92,7.83,7.75,7.75,7.75,7.83,Sample,10.0,10.0,10.0,7.67,Sample  84.50,,0.11,0,0.0,,4,,2013-06-06,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2013-01-28
168,84.5,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,NUEVA GRANADA,,BENEFICIO NUEVA GRANADA,11/326/06,"TRANSCAFE, S.A",,"EL TUMBADOR, SAN MARCOS","AGRICOLA NUEVA GRANADA, S.A",250.0,69,Asociacion Nacional Del Café,2012,2012-02-16,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,8.0,7.67,8.0,7.5,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.50,,0.11,0,0.0,Green,2,,2013-02-15,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2012-07-31
173,84.42,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-0318,NEIVA,3-59-0318,CARCAFE LTDA,,Pitalito-Huila,FRANKLIN DUSSAN,304.0,35,Almacafé,2015/2016,2016-01-25,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.92,7.83,7.75,7.67,7.92,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.42,,0.0,0,0.0,Green,1,,2017-01-24,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-02-07
174,84.42,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-2940,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275.0,70,Almacafé,2014,2014-07-09,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.75,7.67,7.92,7.67,7.75,Sample,10.0,10.0,10.0,7.75,Sample  84.42,,0.0,0,0.0,Green,3,,2015-07-09,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-05-27
176,84.42,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,2234501 KONA FANCY,Kona Pacific Farmers Cooperative,,KONA,,5.0,45.359,Specialty Coffee Association,2012,2013-01-21,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.92,7.92,7.5,7.83,7.5,7.92,Sample,10.0,10.0,10.0,7.83,Sample  84.42,,0.11,0,0.0,Blue-Green,1,,2014-01-21,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-06-08
177,84.42,,,,,,Arabica,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Mexico,FINCA LA CHIRIPA,,FINCA HAMBURGO,1506545936,Finca Hamburgo,900,TAPACHULA,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69.0,1,AMECAFE,2012,2012-06-06,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Pacamara,Completed,Washed / Wet,Sample,7.75,7.92,7.75,7.67,7.83,7.67,Sample,10.0,10.0,10.0,7.83,Sample  84.42,,0.12,2,0.0,,4,,2013-06-06,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-09-03
182,84.33,,,,,,Arabica,Bismarck Castro,Honduras,Los Hicaques,76,Dry Mill,13-111-032,CIGRAH S.A DE C.V,1500,Central Region,Reinerio Zepeda,275.0,69,Instituto Hondureño del Café,2016,2016-04-04,Bismarck Castro,Catuai,Completed,Washed / Wet,Sample,7.58,7.92,7.58,7.75,7.92,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.33,,0.11,0,1.0,Green,2,,2017-04-04,Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,,,2016-09-09
183,84.33,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-1704,Bogota - Bachue,3-37-1704,Racafe & Cia S.C.A,,La Plata,,275.0,70,Almacafé,2016,2016-02-16,Racafe & Cia S.C.A,,Completed,,Sample,7.67,7.67,7.75,7.83,7.75,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.33,,0.0,0,2.0,,4,,2017-02-15,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-09-18
184,84.33,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,,NEIVA,3-59-2235,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN / ANDRES RODRIGUEZ/HIPOLITO TORRES,250.0,70,Almacafé,2015,2015-04-29,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.75,7.67,8.0,7.67,8.08,7.83,Sample,10.0,10.0,10.0,7.33,Sample  84.33,,0.11,6,0.0,Green,0,,2016-04-28,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-01-16
185,84.33,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,Trilladora Bonanza,3-68-0225,Exportadora de Cafe Condor S.A,1800,huila,,275.0,70,Almacafé,2013,2013-07-19,Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.58,7.33,7.83,7.58,8.08,Sample,10.0,10.0,10.0,8.17,Sample  84.33,,0.0,0,0.0,Green,0,,2014-07-19,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2014-05-06
186,84.33,,,,,,Arabica,VICTOR HUGO MELCHOR CORDOVA,Mexico,LA DISTANCIA,,LA DISTANCIA,1506680144,,1700,TUXTLA GUTIERREZ,VICTOR HUGO MELCHOR CORDOVA,100.0,80,AMECAFE,2012,2012-07-27,VICTOR HUGO MELCHOR CORDOVA,Typica,Completed,Washed / Wet,Sample,8.0,7.75,7.75,7.83,7.5,7.67,Sample,10.0,10.0,10.0,7.83,Sample  84.33,,0.12,0,0.0,Blue-Green,1,,2013-07-27,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2013-03-15
188,84.33,,,,,,Arabica,NUCOFFEE,Brazil,Fazenda Baipendi,,,002/1251/0360,,900-1200m,South Minas Gerais,Antônio Pelucio,80.0,60,NUCOFFEE,2011,2011-10-28,NUCOFFEE,,Completed,,Sample,8.0,8.0,7.5,7.5,7.67,7.75,Sample,10.0,10.0,10.0,7.92,Sample  84.33,,0.02,0,0.0,,2,,2012-10-27,NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,,,2012-07-24
190,84.33,,,,,,Arabica,The Coffee Source Inc.,Guatemala,Las Minas,,Las Minas,11-897-10,,4400-4700 ft,Nuevo Oriente,Miguel Hernandez,250.0,1,Specialty Coffee Association,December 2009-March 2010,2010-04-30,The Coffee Source Inc.,,Completed,,Sample,7.5,7.67,7.75,7.67,7.92,7.92,Sample,10.0,10.0,10.0,7.92,Sample  84.33,,0.04,1,0.0,,1,,2011-04-30,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2010-09-22
193,84.25,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,3-59-3461,PASTO,3-59-3461,CARCAFE LTDA CI,2560,NARIÑO,JOSE ALBEIRO GOMEZ,275.0,70,Almacafé,2016,2016-08-05,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.83,7.58,7.75,7.58,7.67,8.0,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.11,0,0.0,Green,2,,2017-08-05,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-09-25
195,84.25,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,FINCA SAN VICENTE,11/52/709,BENEFICIO EXPORTCAFE AGUA SANTA,11/52/709,"EXPORTCAFE, S.A.",3607,HUEHUETENANGO,HORACIO CIFUENTES MARTINEZ,275.0,69,Asociacion Nacional Del Café,2015,2016-04-06,Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.75,7.92,7.5,8.08,7.58,7.67,Sample,10.0,10.0,10.0,7.75,Sample  84.25,,0.1,0,0.0,Green,1,,2017-04-06,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2016-11-13
197,84.25,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0637,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275.0,70,Almacafé,2015,2015-11-19,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.67,7.75,7.75,7.67,7.92,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.11,0,0.0,Green,3,,2016-11-18,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-11-20
198,84.25,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-4823,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,248.0,70,Almacafé,2015,2015-10-26,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.83,7.67,7.75,7.58,7.92,7.75,Sample,10.0,10.0,10.0,7.75,Sample  84.25,,0.12,4,0.0,Green,2,,2016-10-25,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-06-05
199,84.25,,,,,,Arabica,Federacion Nacional de Cafeteros,Colombia,,,Cauca,3576-01-01 00:00:00,Federacion Nacional de Cafeteros,1800,Cauca,,275.0,2,Almacafé,2015/2016,2015-06-05,Federacion Nacional de Cafeteros,Other,Completed,Washed / Wet,Sample,7.83,7.75,7.83,7.58,7.67,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.12,0,0.0,Green,0,,2016-06-04,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-09-19
200,84.25,,,,,,Arabica,CARCAFE LTDA CI,Colombia,,,NEIVA,3-59-2270,CARCAFE LTDA,442 msnm,HUILA,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,250.0,70,Almacafé,2015,2015-04-29,CARCAFE LTDA CI,Caturra,Completed,Natural / Dry,Sample,7.42,7.67,7.83,7.75,7.92,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.12,3,0.0,Green,0,,2016-04-28,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-08-13
201,84.25,,,,,,Arabica,Tembo Coffee Company Ltd,"Tanzania, United Republic Of",Jacksom Mwasenga,,Tembo Coffee Company Ltd,C46,Tembo Coffee Company Ltd,1620M,Shizingo Village,Tembo Coffee Company Ltd,10.0,60,Africa Fine Coffee Association,2014,2014-12-12,Tembo Coffee Company Ltd,Other,Completed,Washed / Wet,Sample,7.83,7.67,7.75,7.83,7.67,7.67,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.12,0,0.0,Green,7,,2015-12-12,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-11-19
202,84.25,,,,,,Arabica,Taylor Winch (T) Ltd,"Tanzania, United Republic Of",Suma JKT Itende,,Taylor Winch (T) Ltd,C12,Taylor Winch(T) Ltd,1600,Mbeya,Taylor Winch (T) ltd,65.0,60,Africa Fine Coffee Association,2014,2014-12-12,Taylor Winch (T) Ltd,Other,Completed,Washed / Wet,Sample,7.83,7.75,7.75,7.75,7.67,7.75,Sample,10.0,10.0,10.0,7.75,Sample  84.25,,0.12,0,0.0,Green,2,,2015-12-12,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-08-26
203,84.25,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL PAPATURRO,,BENEFICIO IXCHEL,11/23/0561,"UNEX (GUATEMALA), S.A",4000 PSNM,ORIENTE,AMILCAR LAPOLA,250.0,69,Asociacion Nacional Del Café,2014,2014-08-21,Juan Luis Alvarado Romero,Bourbon,Completed,Other,Sample,7.83,7.83,7.5,7.92,7.58,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.1,0,0.0,Green,1,,2015-08-21,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2015-01-24
204,84.25,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora bonanza,3-68-0290,Exportadora de Cafe Condor S.A,1700,cauca,,250.0,70,Almacafé,2013,2013-10-01,Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.58,7.5,7.75,7.83,7.92,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.25,,0.11,0,0.0,Green,2,,2014-10-01,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2014-05-11
205,84.25,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,2230302 KONA NO. 1,Kona Pacific Farmers Cooperative,,KONA,,7.0,45.359,Specialty Coffee Association,2012,2012-12-11,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.33,7.92,7.92,7.92,7.92,8.08,Sample,10.0,10.0,9.33,7.83,Sample  84.25,,0.11,1,0.0,Bluish-Green,1,,2013-12-11,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-01-06
211,84.17,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,3-37-3825,BACHUE,3-37-3825,Racafe & Cia S.C.A,,Huila,La Plata,250.0,70,Almacafé,2016,2016-08-19,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.83,7.75,7.58,7.67,7.75,7.83,Sample,10.0,10.0,10.0,7.75,Sample  84.17,,0.0,0,0.0,Green,2,,2017-08-19,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-09-05
214,84.17,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,SANTO TOMAS PACHUJ,11/752/01,BENEFICIO PALINSA,11/752/01,CAFCOM,1565,SOLOLA,FERNANDO FAHSEN,377.0,69,Asociacion Nacional Del Café,2016,2016-06-01,Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.75,7.92,7.58,7.92,7.67,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.17,,0.1,0,1.0,Green,10,,2017-06-01,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2016-07-20
216,84.17,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-4173,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,275.0,70,Almacafé,2015,2015-08-18,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,8.0,7.5,7.5,7.67,8.0,7.83,Sample,10.0,10.0,10.0,7.67,Sample  84.17,,0.0,0,0.0,Bluish-Green,0,,2016-08-17,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-12-17
217,84.17,,,,,,Arabica,COOPERATIVA EL GORRION R.L,Nicaragua,Las Nubes,,Beneficio Humedo,017/176/165,COOPERATIVA EL GORRION R.L,de 900 a 1100 msnm,"Jinotega, Nicaragua",COOPERATIVA EL GORRION RL,275.0,2,Specialty Coffee Association of Costa Rica,2015,2015-08-03,COOPERATIVA EL GORRION R.L,Caturra,Completed,Natural / Dry,Sample,7.67,7.83,7.83,7.5,7.67,7.83,Sample,10.0,10.0,10.0,7.83,Sample  84.17,,0.12,0,0.0,Bluish-Green,0,,2016-08-02,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2016-07-07
218,84.17,,,,,,Arabica,Cafebras,Brazil,PANTANO,,VIA SECA,002/1495/0607,Cafebras Comercio de Cafés do Brasil SA,1150,CERRADO,MAURO GALHERI,305.0,59,Brazil Specialty Coffee Association,2015,2015-04-24,Cafebras,Catuai,Completed,Natural / Dry,Sample,7.67,7.75,7.75,7.67,7.83,7.75,Sample,10.0,10.0,10.0,7.75,Sample  84.17,,0.0,0,0.0,,16,,2016-04-23,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2015-05-19
219,84.17,,,,,,Arabica,"CECA, S.A.",Costa Rica,Gamboa,,Beneficio Montañas,5-025-0111,"CECA,S.A.",1850,TARRAZU,Martin Gutierrez,320.0,69,Specialty Coffee Association of Costa Rica,2014,2015-04-10,"CECA,S.A.",Caturra,Completed,Washed / Wet,Sample,7.67,7.75,7.67,7.75,7.5,8.0,Sample,10.0,10.0,10.0,7.83,Sample  84.17,,0.0,0,0.0,Blue-Green,0,,2016-04-09,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25",Noelia Villalobos - (506) 2220 0685,,,2015-11-18
221,84.17,,,,,,Arabica,Selian Coffee Estate,"Tanzania, United Republic Of",Selian Coffee Estate,,Selian Coffee Estate,C31,Selian Coffee Estate,1400,Arusha,Selian Coffee Estate,10.0,60,Africa Fine Coffee Association,2014,2014-12-12,Selian Coffee Estate,Other,Completed,Washed / Wet,Sample,7.92,7.75,7.75,7.75,7.75,7.58,Sample,10.0,10.0,10.0,7.67,Sample  84.17,,0.13,0,0.0,Green,0,,2015-12-12,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-05-01
222,84.17,,,,,,Arabica,Olam Agro Colombia,Colombia,,,Trilladora Asia,329,Olam international Ltd,1530,Huila,,250.0,1,Almacafé,2014/2015,2014-10-15,Olam Agro Colombia,Other,Completed,Washed / Wet,Sample,7.67,7.5,7.67,7.42,7.83,8.58,Sample,10.0,10.0,10.0,7.5,Sample  84.17,,0.12,0,0.0,Green,4,,2015-10-15,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-01-04
223,84.17,,,,,,Arabica,Chris Finch,Guatemala,,,,11/43984/0001,Volcafe Specialty Coffee,,,,275.0,2.268,Specialty Coffee Association,2013,2014-07-16,Chris Finch,,Completed,Washed / Wet,Sample,7.67,7.75,7.67,7.75,7.75,7.75,Sample,10.0,10.0,10.0,7.83,Sample  84.17,,0.11,0,0.0,Bluish-Green,0,,2015-07-16,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-10-07
224,84.17,,,,,,Arabica,ITOCHU Corporation,Kenya,,,,37-0569-2730,Taylor Winch (Coffee) Ltd.,approx. 1'500 metres a.s.l.,Kenya,,300.0,18000,Kenya Coffee Traders Association,2013,2013-11-07,ITOCHU Corporation,SL28,Completed,Washed / Wet,Sample,7.58,7.75,7.75,7.75,7.75,7.83,Sample,10.0,10.0,10.0,7.75,Sample  84.17,,0.08,0,0.0,Green,0,,2014-11-07,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,,,2014-10-24
226,84.17,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA UNION MONTEVERDE,,BENEFICIO IXCHEL,11/9772/2,"UNEX (GUATEMALA), S.A.",4300,ORIENTE,"AGRICOLA MONTE VERDE, S.A.",250.0,69,Asociacion Nacional Del Café,2013,2013-05-09,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.92,7.75,7.67,7.67,7.83,7.92,Sample,10.0,10.0,10.0,7.42,Sample  84.17,,0.11,0,0.0,Green,4,,2014-05-09,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2014-03-09
227,84.17,,,,,,Arabica,Atlantic Specialty Coffee,El Salvador,El Majahual Tempisque,,J. Hill y Cia,09-060-24,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275.0,2,Specialty Coffee Association,2013,2013-03-18,Atlantic Specialty Coffee,Bourbon,Completed,Natural / Dry,Sample,8.42,8.08,7.5,7.17,7.58,8.17,Sample,9.33,10.0,10.0,7.92,Sample  84.17,,0.11,0,0.0,Bluish-Green,2,,2014-03-18,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-09-28
228,84.17,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora Bonanza,3-68-0019,Exportadora de Cafe Condor S.A,1750 msnm,huila,,250.0,70,Almacafé,2012,2012-10-19,Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,Sample,7.75,7.75,7.75,7.75,7.83,7.75,Sample,10.0,10.0,10.0,7.58,Sample  84.17,,0.0,0,0.0,Green,2,,2013-10-19,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2013-03-24
229,84.17,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL LIMON,,BENEFICIO SERBEN,11-853-053,UNICAFE,,GUATEMALA,WILLIAM ESTUARDO MARTINEZ PACHECO,275.0,1,Asociacion Nacional Del Café,2012,2012-03-26,Juan Luis Alvarado Romero,Catuai,Completed,Natural / Dry,Sample,7.83,7.5,7.5,8.0,7.83,7.83,Sample,10.0,10.0,10.0,7.67,Sample  84.17,,0.11,0,0.0,Bluish-Green,2,,2013-03-26,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2012-07-16
234,84.08,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,11/23/0178,BENEFICIO IXCHEL,11/23/0178,"UNEX GUATEMALA, S.A.",,ORIENTE,MARGARITA AVILA DE NUYENS,50.0,69,Asociacion Nacional Del Café,2016,2016-04-27,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,8.0,7.75,7.5,7.58,7.92,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.08,,0.1,0,0.0,Green,4,,2017-04-27,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2016-10-04
235,84.08,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0118,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,200.0,70,Almacafé,2014,2014-11-05,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.92,7.75,7.67,7.75,7.67,7.67,Sample,10.0,10.0,10.0,7.67,Sample  84.08,,0.0,0,0.0,,2,,2015-11-05,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-05-22
237,84.08,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,2234504 KONA PRIME,Kona Pacific Farmers Cooperative,,KONA,,14.0,45.359,Specialty Coffee Association,2012,2013-01-24,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,Sample,7.83,7.75,7.83,7.83,7.42,8.08,Sample,9.33,10.0,10.0,8.0,Sample  84.08,,0.11,1,0.0,Green,9,,2014-01-24,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-02-25
