,quality_score,view_certificate_1,view_certificate_2,Cupping Protocol and Descriptors,View Green Analysis Details,Request a Sample,Species,Owner,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,NA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,NA.1,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,NA.2,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA.3,Expiration,Certification Body,Certification Address,Certification Contact,Unnamed: 51,Notes,Export Date
574,82.83,,,,,,Arabica,ALFREDO BOJALIL,Mexico,SANTA ROSA,,,1104373099,ECOMTRADING,1250,TEOCELO,OLIVIA HERNANDEZ VIRUES,250.0,1,AMECAFE,2012,2012-07-11,ALFREDO BOJALIL,Bourbon,Completed,Washed / Wet,Sample,7.67,7.58,7.42,7.75,7.42,7.42,Sample,10.0,10.0,10.0,7.58,Sample  82.83,,0.12,0,0.0,Blue-Green,7,,2013-07-11,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-09-28
575,82.83,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,AGROPECUARIA QUIAGRAL,,BENEFICIO IXCHEL,11/23/0934,"UNEX (GUATEMALA), S.A",4300,ORIENTE,AGROPECUARIA QUIAGRAL,250.0,1,Asociacion Nacional Del Café,2012,2012-07-09,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.67,7.67,7.33,7.5,7.33,7.92,Sample,10.0,10.0,10.0,7.42,Sample  82.83,,0.11,0,0.0,Green,10,,2013-07-09,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2012-10-17
577,82.83,,,,,,Arabica,The Coffee Source Inc.,El Salvador,Several Farms,,La Majada Cooperative,9-29-1991,,1200 mts,Santa Ana,La Majada Cooperative,250.0,69,Specialty Coffee Association,2010-2011,2011-08-23,The Coffee Source Inc.,,Completed,,Sample,7.75,7.58,7.75,7.75,7.25,7.5,Sample,10.0,10.0,10.0,7.25,Sample  82.83,,0.0,1,0.0,,3,,2012-08-22,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-02-04
578,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,PROVIDENCIA,11-43367-27,BENEFICIO 2000,11-43367-27,INMOBILIARIA E INVERSIONES DOS MIL S.A.,1100,SANTA ROSA,PLANTACIONES AGROPECUARIAS S.A,275.0,69,Asociacion Nacional Del Café,,2018-01-09,Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.5,7.58,7.42,7.67,7.58,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.1,0,1.0,Green,3,,2019-01-09,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2018-05-09
579,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LINDA VISTA,11-973-276,LINDA VISTA,11-973-276,MERCON GUATEMALA S.A.,1800,SANTA ROSA,PABLO ARTURO CHUY FLORES,275.0,69,Asociacion Nacional Del Café,2017,2017-10-17,Juan Luis Alvarado Romero,Caturra,Completed,Washed / Wet,Sample,7.58,7.67,7.5,7.58,7.5,7.42,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.11,0,0.0,Green,8,,2018-10-17,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2017-11-13
580,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LAS MERCEDITAS,11/23/0693,BENEFICIO IXCHELL,11/23/0693,"UNEX GUATEMALA, S.A.",1700,SAN MARCOS,ANGEL DE LEON,50.0,69,Asociacion Nacional Del Café,2017,2017-09-19,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.5,7.67,7.17,7.67,7.67,7.58,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.11,0,0.0,Green,4,,2018-09-19,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2018-05-15
581,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LAS DELICIAS,11/23/0632,BENEFICIO IXCHELL,11/23/0632,"UNEX GUATEMALA, S.A.",4000,SANTA ROSA,OTTO BECKER,50.0,69,Asociacion Nacional Del Café,2017,2017-09-08,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.5,7.5,7.42,7.58,7.67,7.5,Sample,10.0,10.0,10.0,7.58,Sample  82.75,,0.1,0,0.0,Green,1,,2018-09-08,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2018-05-23
582,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESMERALDA,11/23/0690,BENEFICIO IXCHELL,11/23/0690,"UNEX GUATEMALA, S.A.",4000,ORIENTE,JESUS RAMIREZ,25.0,69,Asociacion Nacional Del Café,2017,2017-08-22,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.42,7.58,7.42,7.67,7.5,7.5,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.1,0,0.0,Green,1,,2018-08-22,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2018-08-02
584,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,LA ESMERALDA,11/23/0369,BENEFICIO IXCHEL,11/23/0369,"UNEX GUATEMALA, S.A.",518,EL PROGRESO,JESUS RAMIREZ,25.0,69,Asociacion Nacional Del Café,2017,2017-06-01,Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,Sample,7.58,7.58,7.33,7.58,7.33,7.67,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.12,0,0.0,Green,0,,2018-06-01,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2018-02-26
586,82.75,,,,,,Arabica,Consejo Salvadoreño del Café,El Salvador,La Montaña,13,Soc. Coop. de Caf. de Ciudad Barrios de R.L.,09-134-17,Soc. Coop. de Caf. de Ciudad Barrios de R.L.,1250,Cacahuatique,Soc. Coop. de Caf. de Ciudad Barrios de R.L.,275.0,69,Salvadoran Coffee Council,2017,2017-05-08,Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,Sample,7.67,7.67,7.17,7.33,7.58,7.67,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.0,0,0.0,,4,,2018-05-08,Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,,,2018-01-22
589,82.75,,,,,,Arabica,Ipanema Coffees,Brazil,Capoeirinha,260/15,Dry mill,002/1660/0048,Ipanema Coffees,905,South of Minas Gerais,Ipanema Agricola,320.0,60,Brazil Specialty Coffee Association,2015,2016-04-25,Ipanema Coffees,Yellow Bourbon,Completed,Pulped natural / honey,Sample,7.5,7.5,7.58,7.5,7.58,7.58,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.11,0,2.0,Bluish-Green,1,,2017-04-25,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2016-10-03
591,82.75,,,,,,Arabica,Yunnan Coffee Exchange,China,Pu'er Lingdu Yunlin Coffee Co.LTD,YNC-16014,Pu'er Lingdu Yunlin Coffee Co.LTD Mill,5300343627999,Yunnan Coffee Exchange,1500,Menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3.0,60,Yunnan Coffee Exchange,2015,2016-04-05,Yunnan Coffee Exchange,Catimor,Completed,Washed / Wet,Sample,7.5,7.67,7.42,7.67,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.11,0,0.0,Green,2,,2017-04-05,Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,,,2017-02-18
592,82.75,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0127,Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,250.0,70,Almacafé,2014,2014-11-07,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.5,7.58,7.58,7.75,7.33,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.0,0,0.0,Blue-Green,2,,2015-11-07,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2015-09-06
593,82.75,,,,,,Arabica,AFCA,Malawi,Msese,,Mzuzu Coffee Planters Coop Union,C21,Mzuzu Coffee Planters Coop Union,1442 M,South of Mzuzu,Mzuzu Coffee Planters Coop Union,29.0,60,Africa Fine Coffee Association,2014,2014-11-04,AFCA,Gesha,Completed,Washed / Wet,Sample,7.75,7.58,7.42,7.5,7.33,7.5,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.12,0,0.0,Bluish-Green,0,,2015-11-04,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-05-01
594,82.75,,,,,,Arabica,Juan Luis Alvarado Romero,Guatemala,EL MORITO,,EL MORITO,11/972/34,"Armajaro Guatemala, S. A.",5000 FT.,JALAPA,ROBERTO MONTERROSO,250.0,69,Asociacion Nacional Del Café,2014,2014-06-16,Juan Luis Alvarado Romero,Pacas,Completed,Washed / Wet,Sample,7.75,7.42,7.25,7.75,7.5,7.67,Sample,10.0,10.0,10.0,7.42,Sample  82.75,,0.13,0,0.0,Green,2,,2015-06-16,Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,2014-09-20
595,82.75,,,,,,Arabica,Coffee Export,Colombia,,,Trilladora Mercedes,3-201-1817,Coffee Export,1.65,Huila,,275.0,1,Almacafé,2014,2014-05-27,Coffee Export,Typica,Completed,Washed / Wet,Sample,7.67,7.42,7.42,7.58,7.33,7.67,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.12,0,0.0,Green,0,,2015-05-27,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2014-12-18
596,82.75,,,,,,Arabica,Eileen Koyanagi,United States (Hawaii),,,,KP010914,Kona Pacific Farmers Cooperative,,KONA,,10.0,36.287,Specialty Coffee Association,2013,2014-02-05,Eileen Koyanagi,Hawaiian Kona,Completed,Natural / Dry,Sample,7.67,7.58,7.42,7.83,7.33,7.5,Sample,10.0,10.0,10.0,7.42,Sample  82.75,,0.1,6,0.0,Blue-Green,0,,2015-02-05,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-05-04
597,82.75,,,,,,Arabica,Eileen Koyanagi,United States (Hawaii),,,,KF010914,Kona Pacific Farmers Cooperative,,KONA,,6.0,45.359,Specialty Coffee Association,2013,2014-02-04,Eileen Koyanagi,Hawaiian Kona,Completed,Natural / Dry,Sample,7.58,7.83,7.75,7.75,7.42,8.0,Sample,9.33,9.33,10.0,7.75,Sample  82.75,,0.1,0,0.0,Green,0,,2015-02-04,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2014-12-01
598,82.75,,,,,,Arabica,The Coffee Source Inc.,Colombia,several,,Antioquia,3-332-0028,The Coffee Source Inc.,1300,Antioquia,several,250.0,1,Specialty Coffee Association of Costa Rica,2013,2014-01-21,The Coffee Source Inc.,Caturra,Completed,Washed / Wet,Sample,7.58,7.33,7.17,7.33,7.25,8.58,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.1,0,0.0,Green,2,,2015-01-21,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,,,2014-11-21
600,82.75,,,,,,Arabica,SERGIO DE LA VEQUIA BERNARDI,Mexico,TLAMATOCA,,CAFETALERA LA CUCHILLA,1104289425,,1200,HUATUSCO,FRANCISCO R. DE LA VEQUIA BERNARDI,250.0,1,AMECAFE,2012,2012-07-11,SERGIO DE LA VEQUIA BERNARDI,Typica,Completed,Washed / Wet,Sample,7.58,7.58,7.33,7.75,7.25,7.58,Sample,10.0,10.0,10.0,7.67,Sample  82.75,,0.12,0,0.0,,0,,2013-07-11,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-12-07
601,82.75,,,,,,Arabica,ROMULO BELLO FLORES,Mexico,,,,1302910536,CAFE SHUNUC,1200,ATOYAC DE ALVAREZ,ROMULO BELLO FLORES,21.0,1,AMECAFE,2012,2012-06-06,ROMULO BELLO FLORES,Typica,Completed,Natural / Dry,Sample,8.08,8.17,8.0,8.0,7.83,7.92,Sample,6.67,10.0,10.0,8.08,Sample  82.75,,0.12,1,0.0,,4,,2013-06-06,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2013-01-01
602,82.75,,,,,,Arabica,Elsy Reyes,Colombia,Supply Chain ECOM CCA S.A.,,South Huila,3-79-0334,ECOM CCA S.A.,1400 thru 1850,South huila,Supply Chain ECOM CCA S.A.,250.0,70,Almacafé,2012,2012-04-11,,Caturra,Completed,Washed / Wet,Sample,7.5,7.58,7.42,7.67,7.5,7.58,Sample,10.0,10.0,10.0,7.5,Sample  82.75,,0.0,0,0.0,Blue-Green,0,,2013-04-11,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2012-09-20
603,82.75,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-37-0767,C.I.Racafe & Cia S.C.A,DE 1.600 A 1.950 MSNM,HUILA,LA PLATA,100.0,70,Almacafé,2012,2012-03-05,Racafe & Cia S.C.A,Caturra,Completed,Washed / Wet,Sample,7.67,7.58,7.58,7.58,7.5,7.42,Sample,10.0,10.0,10.0,7.42,Sample  82.75,,0.11,0,0.0,Green,3,,2013-03-05,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2012-04-23
604,82.75,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,2135401,CQI,,Kona,,6.0,45.359,Specialty Coffee Association,2012,2012-02-23,Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Washed / Wet,Sample,7.25,7.75,7.5,7.83,7.67,7.67,Sample,9.33,10.0,10.0,7.75,Sample  82.75,,0.12,0,0.0,Green,0,,2013-02-22,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-04-03
605,82.75,,,,,,Arabica,Rachel Peterson,Panama,Hacienda La Esmeralda,,Hacienda La Esmeralda,29,Hacienda La Esmeralda,1100,"Boquete, Panama",Price Peterson,300.0,2,Specialty Coffee Association,2012,2012-02-23,Rachel Peterson,Catuai,Completed,Washed / Wet,Sample,7.42,7.42,7.5,7.58,7.5,7.75,Sample,10.0,10.0,10.0,7.58,Sample  82.75,,0.0,0,0.0,Green,4,,2013-02-22,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-03-25
606,82.75,,,,,,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),,,,HDOA 210688,,,Kona,,14.0,1,Specialty Coffee Association,,2010-06-29,Kona Pacific Farmers Cooperative,,Completed,,Sample,7.75,7.67,7.5,7.83,7.17,7.42,Sample,10.0,10.0,10.0,7.42,Sample  82.75,,0.0,0,0.0,,2,,2011-06-29,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2010-10-11
610,82.67,,,,,,Arabica,Consejo Salvadoreño del Café,El Salvador,El Barbaro,1,Santa Adelaida,09-0488-001,Consejo Salvadoreño del Café,1200,"El Balsamo, Quezaltepec","El Barbaro, S.A. de C.V.",275.0,69,Salvadoran Coffee Council,2016,2016-03-29,Consejo Salvadoreño del Café,Pacas,Completed,Washed / Wet,Sample,7.67,7.67,7.67,7.67,7.5,7.67,Sample,10.0,10.0,9.33,7.5,Sample  82.67,,0.0,0,0.0,Green,7,,2017-03-29,Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,,,2016-08-25
612,82.67,,,,,,Arabica,Federacion Nacional de Cafeteros,Colombia,,,,6894-01-03 00:00:00,Federacion Nacional de Cafeteros,,Huila,,1.0,2,Almacafé,2015,2015-11-03,Federacion Nacional de Cafeteros,,Completed,Washed / Wet,Sample,7.75,7.5,7.33,7.58,7.33,7.75,Sample,10.0,10.0,10.0,7.42,Sample  82.67,,0.0,1,0.0,Green,9,,2016-11-02,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2016-09-05
614,82.67,,,,,,Arabica,BOURBON SPECIALTY COFFEES,Brazil,SANTA MARIA,,,002/4542/0213,BOURBON SPECIALTY COFFEES,,MONTE CARMELO,MANOEL CARDOSO AND GALILEO CARDOSO,300.0,60,Brazil Specialty Coffee Association,2014,2015-01-15,BOURBON SPECIALTY COFFEES,Catuai,Completed,Natural / Dry,Sample,7.33,7.5,7.58,7.58,7.67,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.67,,0.12,0,0.0,,9,,2016-01-15,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2015-05-21
615,82.67,,,,,,Arabica,Nitin Coffee Estate,"Tanzania, United Republic Of",Nitin,,Nitin Coffee Estate,C25,Nitin Coffee Estate,1700,Karatu Arusha,Nitin Coffee Estate,93.0,60,Africa Fine Coffee Association,2014,2014-12-18,Nitin Coffee Estate,Other,Completed,Washed / Wet,Sample,7.5,7.5,7.5,7.5,7.5,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.12,0,0.0,Green,0,,2015-12-18,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-08-19
616,82.67,,,,,,Arabica,Taylor Winch (T) Ltd,"Tanzania, United Republic Of",AMPCG,,Taylor Winch (T) Ltd,C20,Taylor Winch(T) Ltd,1550,"Mbinga, Ruvuma",Taylor Winch (T) ltd,77.0,60,Africa Fine Coffee Association,2014,2014-12-15,Taylor Winch (T) Ltd,Bourbon,Completed,Washed / Wet,Sample,7.58,7.5,7.5,7.58,7.33,7.58,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.12,0,0.0,Green,4,,2015-12-15,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-10-08
618,82.67,,,,,,Arabica,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Mexico,LOS LLANITOS,,LA YERBA,703805790,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,1296,LA YERBA,AVELINO CHAVEZ REYNA,11.0,1,AMECAFE,2014,2014-08-15,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Completed,Natural / Dry,Sample,7.67,7.58,7.42,7.5,7.42,7.5,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.11,0,0.0,Green,0,,2015-08-15,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2015-03-11
619,82.67,,,,,,Arabica,Kawacom Uganda LTD,Uganda,Bugisu Shamba,,Kawacom,793,AFCA,1400- 1900,Mt Elgon,Kawacom Uganda Ltd,1.0,60,Uganda Coffee Development Authority,2013,2014-06-25,Kawacom Uganda LTD,SL14,Completed,Washed / Wet,Sample,7.67,7.5,7.33,7.67,7.5,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.67,,0.12,0,0.0,Green,0,,2015-06-25,Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,,2015-03-31
623,82.67,,,,,,Arabica,Adam Kline,El Salvador,,,,009/0060/44L1,Atlantic Specialty Coffee,,,,288.0,1,Specialty Coffee Association,2012,2012-08-17,Adam Kline,Other,Completed,Washed / Wet,Sample,7.92,8.0,7.5,6.75,7.92,7.58,Sample,10.0,10.0,9.33,7.67,Sample  82.67,,0.0,0,0.0,None,17,,2013-08-17,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2013-03-12
626,82.67,,,,,,Arabica,MONTEGRANDE,Mexico,FINCA MONTE GRANDE,,,1506622904,CAFE MONTEGRANDE,1100,,AMIN JAVIER MOISES CEJA,36.0,1,AMECAFE,2012,2012-06-06,MONTEGRANDE,Other,Completed,Washed / Wet,Sample,7.58,7.58,7.42,7.58,7.42,7.5,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.11,0,0.0,,2,,2013-06-06,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-07-09
627,82.67,,,,,,Arabica,GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Mexico,FINCA CASTILLOS,,,F-30002939,GRUPO CAFETALERO LOS BRUJOS,950,MAHUIXTLAN,MARIA DE LOURDES ANCIRA ELIZONDO,23.0,1,AMECAFE,2012,2012-06-06,GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Typica,Completed,Washed / Wet,Sample,7.5,7.58,7.58,7.58,7.42,7.42,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.12,0,0.0,,0,,2013-06-06,AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,,,2012-06-28
628,82.67,,,,,,Arabica,George A. Fernandez,Colombia,La Canada,,The beneficio is designed to be ecologic,2889,,"1,800 meters (5,900",52 Narino (exact location: Mattituy; municipal region: Florida Code 381,Mariana Cabrera Pantoja; I.D.: 27 423 625,1.0,1,Specialty Coffee Association,Spring 2011 in Colombia.,2011-11-16,George A. Fernandez,,Completed,,Sample,7.33,7.58,7.42,7.42,7.67,7.67,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.11,0,0.0,Green,0,,2012-11-15,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2012-10-16
630,82.67,,,,,,Arabica,Young Kim,Mexico,KASSANDRA,,,016-2484-05,,1400 MASL,Mexico,Finca Kassandra,1.0,1,Specialty Coffee Association,2010-2011,2011-04-06,Young Kim,Blue Mountain,Completed,,Sample,7.75,7.58,7.25,7.75,7.67,7.58,Sample,10.0,10.0,10.0,7.08,Sample  82.67,,0.0,0,0.0,,1,,2012-04-05,Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,2011-07-25
631,82.67,,,,,,Arabica,Exportadora de Cafe Condor S.A,Colombia,,,trilladora Bonanza-Armenia Quindio,3-68-0152,,1800 msnm,huila,,250.0,70,Almacafé,4T/10,2011-02-09,Exportadora de Cafe Condor S.A,,Completed,,Sample,8.08,7.67,7.67,7.33,7.33,7.17,Sample,10.0,10.0,10.0,7.42,Sample  82.67,,0.08,0,0.0,,3,,2012-02-09,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2011-09-19
632,82.67,,,,,,Arabica,Racafe & Cia S.C.A,Colombia,,,,3-037-2273,,,,,270.0,70,Almacafé,2009-2010,2010-09-03,Racafe & Cia S.C.A,,Completed,,Sample,7.5,7.42,7.33,7.33,7.67,7.83,Sample,10.0,10.0,10.0,7.58,Sample  82.67,,0.21,0,0.0,,2,,2011-09-03,Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,,,2011-08-02
637,82.58,,,,,,Arabica,BOURBON SPECIALTY COFFEES,Brazil,,43102245/P4615,Dinamo Armazens Gerais Ltda,002/4542/0190,BOURBON SPECIALTY COFFEES,,CAMPOS ALTOS - CERRADO,,300.0,60,Brazil Specialty Coffee Association,2016,2015-12-28,BOURBON SPECIALTY COFFEES,,Completed,,Sample,7.42,7.42,7.5,7.33,7.25,7.67,Sample,10.0,10.0,10.0,8.0,Sample  82.58,,0.0,1,9.0,Green,2,,2016-12-27,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,,,2016-04-29
638,82.58,,,,,,Arabica,Andry Simarmata,Indonesia,SMALL HOLDERS FARMER,,SARIMAKMUR,015/0826/0516,PT. SARI MAKMUR TUNGGAL MANDIRI,1200-1300m dpl,Aceh,SMALL HOLDERS FARMER,150.0,2,Torch Coffee Lab Yunnan,2015,2015-09-15,Andry Simarmata,Typica,Completed,Semi-washed / Semi-pulped,Sample,7.83,7.58,7.42,7.33,7.42,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.58,,0.13,0,0.0,Blue-Green,6,,2016-09-14,Torch Coffee Lab Yunnan,云南省普洱市思茅区龙生路公园1号105栋306室 张富明 Long Shen Road Gong Yuan 1 Hao Building 105 Suite 306 18708858982,Marty Pollack - 18287988435,,,2016-04-26
641,82.58,,,,,,Arabica,Tembo Coffee Company Ltd,"Tanzania, United Republic Of",Lubanda AMCOS,,Tembo Coffee Company Ltd,C37,Tembo Coffee Company Ltd,1317,Ikand Village,Tembo Coffee Company Ltd,10.0,60,Africa Fine Coffee Association,2014,2014-12-12,Tembo Coffee Company Ltd,Other,Completed,Washed / Wet,Sample,7.75,7.42,7.33,7.5,7.58,7.5,Sample,10.0,10.0,10.0,7.5,Sample  82.58,,0.12,0,0.0,,1,,2015-12-12,Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,,,2015-03-04
